RefSeq	Symbol	Chr	Start	End	Strand	txLength	countLength	Cond1_Samp1	Cond1_Samp2	Cond2_Samp1	Cond2_Samp2	Cond3_Samp1	Cond3_Samp2	Cond4_Samp1	Cond5_Samp2
NM_001081067	A1BG	chr15	60749143	60752825	-	3682	1823	0	0	0	0	0	0	0	0
NM_001009819	A3GALT2	chr4	128436501	128446542	+	10041	3390	0	3	4	3	2	3	0	1
NM_001004150	A4GALT	chr15	83057151	83082204	-	25053	2092	1	3	5	7	2	5	10	6
NM_023383	AADAC	chr3	59835709	59844079	+	8370	1294	0	0	0	1	3	1	0	1
NM_001128091	AADACL2	chr3	59810664	59829342	+	18678	1590	0	0	0	0	0	0	0	0
NM_177762	AAK1	chr6	86799510	86953221	+	153711	19102	3855	3117	2833	2983	2086	1924	1280	1424
NM_175503	AARD	chr15	51871652	51877269	+	5617	1348	0	0	0	0	0	0	0	0
NM_146217	AARS	chr8	113557741	113579469	+	21728	3715	3500	5713	1780	2609	4520	4234	2675	3274
NM_173765	AASDH	chr5	77304959	77334539	-	29580	3694	159	163	168	128	199	226	282	251
NM_007379	ABCA2	chr2	25284193	25304059	+	19866	8061	461	330	166	140	189	172	781	518
NM_147220	ABCA9	chr11	109962135	110029467	-	67332	6268	135	30	23	12	5	0	6	0
NM_019552	ABCB10	chr8	126476358	126507022	-	30664	4306	441	563	497	433	645	593	883	737
NM_008576	ABCC1	chr16	14361650	14474971	+	113321	5935	726	1401	1412	1726	1357	1330	1221	982
NM_170680	ABCC12	chr17	46440178	46464972	-	24794	4815	185	174	348	271	237	228	260	260
NM_001033336	ABCC4	chr14	118881913	119105441	-	223528	5729	139	259	532	490	166	206	391	355
NM_013790	ABCC5	chr16	20331376	20426467	-	95091	5810	1559	1470	645	495	1389	1563	1546	1960
NM_008992	ABCD4	chr12	85943480	85958416	-	14936	2527	241	421	146	190	418	482	446	509
NM_013854	ABCF1	chr17	36093763	36106695	-	12932	3150	1133	1741	2176	2270	3177	3055	1701	1471
NM_013852	ABCF3	chr16	20548675	20561676	+	13001	3288	564	619	901	760	1282	1244	723	779
NM_138955	ABCG4	chr9	44081272	44096327	-	15055	3626	15	16	13	10	12	20	15	16
NM_001286005	ABCG8	chr17	85075641	85099673	+	24032	3375	0	0	0	1	0	0	0	0
NM_026185	ABHD15	chr11	77328618	77334130	+	5512	3249	23	41	121	103	1613	1170	1893	2350
NM_178592	ABHD16A	chr17	35226235	35239932	+	13697	1945	514	409	349	271	562	454	1020	662
NM_183181	ABHD16B	chr2	181227910	181229685	+	1775	1775	10	10	5	4	8	11	17	13
NM_134130	ABHD3	chr18	10644408	10706694	-	62286	1887	7	12	8	0	30	43	98	70
NM_001205181	ABHD4	chr14	54873803	54888844	+	15041	2661	2835	2027	1145	903	829	890	1095	921
NM_025341	ABHD6	chr14	8835415	8889069	+	53654	2018	88	107	68	45	189	187	446	286
NM_022419	ABHD8	chr8	73980598	73987556	-	6958	1985	935	1403	494	597	623	543	316	217
NM_001163464	ABI3	chr11	95691385	95703790	-	12405	2079	5	13	0	3	5	22	52	74
NM_001164491	ABLIM3	chr18	61959046	62071506	-	112460	4215	0	0	1	9	0	0	0	0
NM_001290444	ABO	chr2	26698022	26720515	-	22493	1660	0	0	0	0	0	0	0	0
NM_028440	ABRACL	chr10	17731066	17743058	-	11992	809	544	654	373	440	311	238	166	163
NM_030251	ABTB1	chr6	88785907	88791929	-	6022	1880	204	188	112	76	190	195	518	346
NM_007424	ACAN	chr7	86198368	86259985	+	61617	7355	0	0	0	0	0	0	0	0
NM_153788	ACAP1	chr11	69695068	69709041	-	13973	2482	1	2	0	1	0	0	2	0
NM_207223	ACAP3	chr4	155265983	155281360	+	15377	4312	454	617	586	575	551	452	370	312
NM_009338	ACAT2	chr17	13135907	13153591	-	17684	2076	1905	3375	806	987	4706	5461	3747	2554
NM_030063	ACBD7	chr2	3253439	3258269	+	4830	535	1	0	0	0	1	0	0	0
NM_001033452	ACCSL	chr2	93695516	93709314	-	13798	2225	0	6	0	3	3	3	4	17
NM_001012638	ACD	chr8	108222058	108224995	-	2937	1418	410	398	254	233	365	357	320	239
NM_207624	ACE	chr11	105829258	105851278	+	22020	4675	0	0	3	2	0	0	2	0
NM_023190	ACIN1	chr14	55260997	55305768	-	44771	4197	1562	2259	1808	1808	2005	1867	1120	1087
NM_134037	ACLY	chr11	100337665	100389314	-	51649	4397	3611	6733	4822	7243	3221	3920	7984	3157
NM_134247	ACOT4	chr12	85379328	85385673	+	6345	2325	4	7	1	0	2	3	10	12
NM_172580	ACOT6	chr12	85441603	85450733	+	9130	1822	14	13	9	12	6	12	20	31
NM_053115	ACOX2	chr14	9058024	9091533	-	33509	2573	2	0	2	1	43	41	317	468
NM_030721	ACOX3	chr5	35925708	35956450	+	30742	3716	662	599	278	281	328	394	1890	1133
NM_001110239	ACP1	chr12	31578190	31596477	-	18287	2578	85	180	111	134	175	200	91	107
